ABMI Site Number,ABMI Public Latitude,ABMI Public Longitude,File No. ABMI-00003; Version January 2008,,
555,56.762230,-117.039635,,,
556,56.770287,-116.661446,,,
557,56.708755,-116.375343,,,
558,56.694675,-116.065811,,,
559,56.670578,-115.698334,,,
560,56.651146,-115.323715,,,
561,56.634964,-115.017265,,,
562,56.596901,-114.647148,,,
563,56.568848,-114.355988,,,
564,56.529064,-114.080284,,,
565,56.469864,-113.758064,,,
566,56.437115,-113.390671,,,
567,56.459156,-113.105873,,,
568,56.398125,-112.719238,,,
569,56.329151,-112.424896,,,
570,56.333176,-112.122169,,,
571,56.272148,-111.878265,,,
572,56.242714,-111.523277,,,
573,56.217773,-111.191597,,,
574,56.174919,-110.900429,,,
575,56.109257,-110.594681,,,
576,56.107594,-110.323669,,,
577,56.764450,-119.965996,,,
578,56.733891,-119.645256,,,
579,56.731594,-119.276932,,,
580,56.700062,-118.932564,,,
581,56.693996,-118.585655,,,
582,56.646046,-118.291519,,,
583,56.663528,-117.947227,,,
584,56.645885,-117.631760,,,
585,56.626186,-117.395340,,,
586,56.558170,-117.017921,,,
587,56.550880,-116.733871,,,
588,56.568489,-116.374451,,,
589,56.490124,-116.039406,,,
590,56.494270,-115.735558,,,
591,56.466942,-115.390587,,,
592,56.468533,-115.106476,,,
593,56.385468,-114.746071,,,
594,56.345901,-114.465256,,,
595,56.336475,-114.099190,,,
596,56.316731,-113.760292,,,
597,56.274246,-113.537216,,,
598,56.265388,-113.185066,,,
599,56.223064,-112.856621,,,
600,56.176392,-112.548492,,,
601,56.145565,-112.277840,,,
602,56.086975,-111.859787,,,
603,56.078949,-111.547501,,,
604,56.039345,-111.209465,,,
605,56.004623,-110.947266,,,
606,55.985703,-110.633621,,,
607,55.953419,-110.315483,,,
608,55.917210,-110.027626,,,
609,56.560551,-119.925491,,,
610,56.545544,-119.629211,,,
611,56.541172,-119.269791,,,
612,56.500168,-118.954628,,,
613,56.519367,-118.665207,,,
614,56.469311,-118.295120,,,
615,56.452942,-118.024689,,,
616,56.436817,-117.657349,,,
617,56.443310,-117.369858,,,
618,56.385921,-117.012878,,,
619,56.345371,-116.711296,,,
620,56.372555,-116.406296,,,
621,56.331802,-116.141838,,,
622,56.321774,-115.820801,,,
623,56.253788,-115.461967,,,
624,56.258976,-115.141731,,,
625,56.212494,-114.849663,,,
626,56.221920,-114.478264,,,
627,56.181553,-114.140480,,,
628,56.125080,-113.821854,,,
629,56.092342,-113.575829,,,
630,56.071377,-113.253578,,,
631,56.047466,-112.838890,,,
632,55.979862,-112.605103,,,
633,55.970795,-112.239220,,,
634,55.959297,-112.013794,,,
635,55.894630,-111.675308,,,
636,55.881409,-111.402763,,,
637,55.811905,-111.004028,,,
638,55.781212,-110.729614,,,
639,55.747368,-110.403282,,,
640,55.710850,-110.065269,,,
641,56.427437,-119.977234,,,
642,56.349869,-119.655525,,,
643,56.341633,-119.329147,,,
644,56.319595,-119.027382,,,
645,56.302330,-118.697884,,,
646,56.301464,-118.460602,,,
647,56.298279,-118.014931,,,
648,56.257835,-117.671722,,,
649,56.246216,-117.341248,,,
650,56.229439,-117.110107,,,
651,56.221806,-116.832489,,,
652,56.165104,-116.444389,,,
653,56.148235,-116.120285,,,
654,56.153553,-115.864441,,,
655,56.103893,-115.517708,,,
656,56.088947,-115.157852,,,
657,56.028576,-114.892906,,,
658,56.046543,-114.521767,,,
659,55.977169,-114.198029,,,
660,55.955322,-113.965317,,,
661,55.939598,-113.585197,,,
662,55.866554,-113.291275,,,
663,55.847248,-113.027748,,,
664,55.852993,-112.605179,,,
665,55.799694,-112.317108,,,
666,55.765549,-112.066238,,,
